"시군구별","구분별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월",
"수원시","합계","시군별 세대 및 인구","명","1240699","1240110","1240942","1241158","1241908","1242645","1242828","1242638","1242733","1242987","1243041","1242212","1241311","1240842","1240869","1239987","1239068","1238376","1237218","1235845","1236830","1236761","1236329","1235022","1234712","1234308","1233106","1232625","1231201","1230502","1229780","1228097","1226716","1224926","1223702","1221913",
"수원시","남","시군별 세대 및 인구","","","","626105","","","627035","","","627335","","","627004","","","626394","","","625117","","","624196","","","622909","","","621861","","","620426","","","618352","","","615721",
"수원시","여","시군별 세대 및 인구","","","","614837","","","615610","","","615398","","","615208","","","614475","","","613259","","","612634","","","612113","","","611245","","","610076","","","608364","","","606192",
"수원시","세대수","시군별 세대 및 인구","세대","484113","485023","486490","487028","487890","488613","489354","490447","491435","492164","492576","492939","493436","494237","495670","495905","496426","496602","496677","496677","497746","497888","498302","498836","499238","500289","500681","501215","502146","503104","503913","504528","505292","505484","","506950",
"수원시","계","시군별 세대 및 인구","","1202715","1201906","1202104","1201779","1202249","1203000","1203285","1203089","1202958","1202475","1202110","1201166","1200038","1199495","1199599","1198461","1197648","1197153","1196323","1195318","1196074","1195204","1194834","1194465","1193894","1193480","1192762","1192622","1192018","1191542","1191244","1190074","1188926","1187638","1187153","1186078",
"수원시","남","시군별 세대 및 인구","","605800","605273","605416","605162","605443","605835","605939","605938","606020","605743","605455","604918","604383","604076","604349","603839","603426","603047","602650","601973","602477","601900","601697","601410","601097","600958","600550","600616","600154","599868","599719","599101","598549","597863","597612","597076",
"수원시","여","시군별 세대 및 인구","","596915","596633","596688","596617","596806","597165","597346","597151","596938","596732","596655","596248","595655","595419","595250","594622","594222","594106","593673","593345","593597","593304","593137","593055","592797","592522","592212","592006","591864","591674","591525","590973","590377","589775","589541","589002",
"수원시","계","시군별 세대 및 인구","","37984","38204","38838","39379","39659","39645","39543","39549","39775","40512","40931","41046","41273","41347","41270","41526","41420","41223","40895","40527","40756","41557","41495","40557","40818","40828","40344","40003","39183","38960","38536","38023","37790","37288","36549","35835",
"수원시","남","시군별 세대 및 인구","","","","20689","","","21200","","","21315","","","22086","","","22045","","","22070","","","21719","","","21499","","","21311","","","20558","","","19803","","","18645",
"수원시","여","시군별 세대 및 인구","","","","18149","","","18445","","","18460","","","18960","","","19225","","","19153","","","19037","","","19058","","","19033","","","18402","","","17987","","","17190",
