,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인
수원시,484113 ,605800 ,596915 ,37984 ,485023 ,605273 ,596633 ,38204 ,486490 ,605416 ,596688 ,38838 ,487028 ,605162 ,596617 ,39379 ,487890 ,605443 ,596806 ,39659 ,488613 ,605835 ,597165 ,39645 ,489354 ,605939 ,597346 ,39543 ,490447 ,605938 ,597151 ,39549 ,491435 ,606020 ,596938 ,39775 ,492164 ,605743 ,596732 ,40512 ,492576 ,605455 ,596655 ,40931 ,492939 ,604918 ,596248 ,41046 ,493436 ,604383 ,595655 ,41273 ,494237 ,604076 ,595419 ,41347 ,495670 ,604349 ,595250 ,41270 ,495905 ,603839 ,594622 ,41526 ,496426 ,603426 ,594222 ,41420 ,496602 ,603047 ,594106 ,41223 ,496677 ,602650 ,593673 ,40895 ,496677 ,601973 ,593345 ,40527 ,497746 ,602477 ,593597 ,40756 ,497888 ,601900 ,593304 ,41557 ,498302 ,601697 ,593137 ,41495 ,498836 ,601410 ,593055 ,40557 ,499238 ,601097 ,592797 ,40818 ,500289 ,600958 ,592522 ,40828 ,500681 ,600550 ,592212 ,40344 ,501215 ,600616 ,592006 ,40003 ,502146 ,600154 ,591864 ,39183 ,503104 ,599868 ,591674 ,38960 ,503913 ,599719 ,591525 ,38536 ,504528 ,599101 ,590973 ,38023 ,505292 ,598549 ,590377 ,37790 ,505484 ,597863 ,589775 ,37288 ,NaN,597612 ,589541 ,36549 ,506950 ,597076 ,589002 ,35835 
용인시,372998 ,499989 ,506245 ,16918 ,374166 ,500628 ,507136 ,16868 ,375064 ,501088 ,507628 ,17067 ,375809 ,501515 ,508308 ,17344 ,376535 ,502209 ,508969 ,17464 ,377137 ,503099 ,509476 ,17413 ,379247 ,505918 ,511755 ,17385 ,381814 ,508507 ,514146 ,17331 ,384280 ,510588 ,516441 ,17825 ,386759 ,512325 ,518410 ,18367 ,388384 ,512918 ,519562 ,18529 ,390137 ,514127 ,520999 ,18396 ,391468 ,515145 ,521897 ,18327 ,392837 ,515741 ,522662 ,18164 ,393857 ,516135 ,523226 ,18395 ,395331 ,517714 ,524515 ,18581 ,397197 ,519803 ,526263 ,18617 ,398698 ,521287 ,527545 ,18532 ,400454 ,523068 ,529280 ,18531 ,400454 ,524485 ,530504 ,18452 ,403083 ,524635 ,530881 ,19015 ,404484 ,525254 ,531832 ,19312 ,405560 ,525224 ,532671 ,19344 ,406880 ,525946 ,533663 ,18982 ,408194 ,526823 ,534617 ,19186 ,409892 ,527799 ,535851 ,19087 ,411186 ,528764 ,536849 ,18931 ,412683 ,530251 ,538268 ,18632 ,414132 ,531727 ,539260 ,17992 ,415491 ,532935 ,540180 ,17910 ,416896 ,533772 ,541196 ,17662 ,417777 ,534140 ,541519 ,17431 ,418471 ,534153 ,541544 ,17392 ,418896 ,533921 ,541569 ,17270 ,NaN,533488 ,541302 ,17066 ,420519 ,532847 ,541329 ,16731 
성남시,396946 ,479277 ,488231 ,16967 ,397312 ,478910 ,488058 ,16988 ,397368 ,478344 ,487347 ,17192 ,397259 ,477730 ,486670 ,17368 ,397281 ,477120 ,486177 ,17447 ,397234 ,476572 ,485666 ,17353 ,397121 ,475826 ,484943 ,17350 ,397037 ,474757 ,483913 ,17345 ,397226 ,474122 ,483313 ,17406 ,397624 ,473442 ,482557 ,17693 ,397922 ,472882 ,482037 ,17903 ,398412 ,472506 ,481841 ,17933 ,398563 ,471956 ,481491 ,17900 ,398803 ,471470 ,480894 ,17987 ,398699 ,470796 ,480120 ,17880 ,398627 ,470051 ,479265 ,18021 ,399050 ,469736 ,478846 ,18032 ,399317 ,469325 ,478665 ,17924 ,399243 ,468589 ,477979 ,17785 ,399243 ,468086 ,477460 ,17641 ,399821 ,467683 ,477058 ,17581 ,399868 ,467031 ,476554 ,17931 ,400001 ,466737 ,476192 ,17988 ,400460 ,466644 ,476080 ,17618 ,400854 ,466582 ,476067 ,17647 ,401389 ,466306 ,475877 ,17611 ,401748 ,466115 ,475573 ,17432 ,402179 ,466119 ,475408 ,17266 ,402687 ,465640 ,474879 ,16820 ,403266 ,465307 ,474441 ,16723 ,403840 ,465033 ,473949 ,16483 ,405554 ,465801 ,474867 ,16208 ,406802 ,466232 ,475551 ,16065 ,407242 ,466057 ,475423 ,15872 ,NaN,465702 ,475044 ,15596 ,407912 ,465407 ,474657 ,15184 
부천시,336252 ,424628 ,426776 ,21496 ,337129 ,424734 ,427078 ,21732 ,337728 ,424794 ,427141 ,22079 ,337968 ,424548 ,427041 ,22351 ,338171 ,424213 ,426799 ,22469 ,338177 ,423824 ,426480 ,22648 ,338386 ,423509 ,426237 ,22838 ,338330 ,422654 ,425537 ,23156 ,338566 ,422273 ,425306 ,23399 ,338700 ,421602 ,424823 ,23750 ,338692 ,420793 ,424160 ,24156 ,338759 ,420179 ,423589 ,24338 ,338975 ,419423 ,423115 ,24656 ,339045 ,418415 ,422320 ,24889 ,339071 ,417600 ,421601 ,25081 ,339028 ,416860 ,421077 ,25252 ,339463 ,416354 ,420879 ,25293 ,339667 ,416046 ,420705 ,25367 ,339609 ,415373 ,420060 ,25293 ,339609 ,414815 ,419461 ,25288 ,339790 ,414250 ,418968 ,25416 ,339817 ,413450 ,418251 ,25603 ,339962 ,412895 ,417916 ,25827 ,340160 ,412500 ,417496 ,25689 ,340274 ,411912 ,417035 ,25855 ,340444 ,411044 ,416330 ,25965 ,340894 ,410853 ,416279 ,25833 ,341258 ,410678 ,416167 ,25902 ,341824 ,410257 ,415836 ,25803 ,342539 ,409982 ,415718 ,25800 ,342938 ,409371 ,415304 ,25589 ,343181 ,408411 ,414454 ,25332 ,343627 ,407881 ,414119 ,25197 ,343993 ,407401 ,413667 ,25001 ,NaN,406839 ,413151 ,24672 ,344495 ,406023 ,412360 ,24405 
화성시,272445 ,360319 ,336268 ,36976 ,276695 ,365586 ,341538 ,37101 ,280631 ,370095 ,345531 ,37070 ,283903 ,373610 ,348610 ,37023 ,285955 ,375963 ,350535 ,36988 ,287361 ,377740 ,352199 ,37286 ,289170 ,379722 ,354139 ,37427 ,291536 ,382119 ,356372 ,37784 ,293322 ,384000 ,358053 ,38109 ,296087 ,387012 ,360709 ,38633 ,298639 ,389977 ,363282 ,39247 ,301025 ,392871 ,365851 ,39378 ,303830 ,396222 ,368885 ,39688 ,306638 ,399326 ,371773 ,39679 ,308852 ,401902 ,374056 ,39372 ,311380 ,404675 ,376832 ,39677 ,313646 ,407102 ,379081 ,39919 ,315862 ,409306 ,381140 ,39938 ,318215 ,411797 ,383389 ,40422 ,277787 ,413982 ,385330 ,40544 ,322141 ,416120 ,387132 ,40345 ,324338 ,418590 ,389393 ,40821 ,326111 ,420550 ,391228 ,41029 ,327797 ,422470 ,392926 ,40553 ,329346 ,424061 ,394699 ,41171 ,331289 ,425993 ,396477 ,41351 ,333688 ,428761 ,398842 ,40836 ,335727 ,431049 ,400839 ,40698 ,337533 ,432499 ,401879 ,40331 ,339150 ,433894 ,402768 ,40121 ,340771 ,435377 ,404116 ,39659 ,343103 ,437083 ,405781 ,39358 ,345685 ,439243 ,407607 ,38964 ,347748 ,440954 ,409096 ,38562 ,NaN,442631 ,410475 ,38106 ,351924 ,443841 ,411407 ,37636 
안산시,277909 ,346700 ,329104 ,53853 ,277056 ,344565 ,327005 ,54020 ,276182 ,342714 ,325470 ,54468 ,275740 ,341709 ,324459 ,54770 ,275504 ,341112 ,323730 ,54856 ,275478 ,340763 ,323404 ,54875 ,275318 ,340005 ,322653 ,54889 ,275186 ,339362 ,321951 ,55061 ,275449 ,339150 ,321803 ,55356 ,275918 ,338990 ,321753 ,56042 ,276292 ,338780 ,321672 ,56742 ,276662 ,338701 ,321642 ,56787 ,276949 ,338449 ,321514 ,56877 ,277237 ,338153 ,321225 ,57060 ,277389 ,337952 ,320930 ,57123 ,277252 ,337465 ,320523 ,57380 ,277134 ,337101 ,320159 ,57084 ,277298 ,336920 ,319937 ,56789 ,277787 ,336925 ,319886 ,56438 ,318215 ,336414 ,319484 ,56512 ,277810 ,335716 ,318952 ,57051 ,277426 ,334753 ,318082 ,57297 ,277306 ,334206 ,317571 ,57313 ,277331 ,333766 ,317152 ,56467 ,277629 ,333471 ,317088 ,56627 ,278507 ,333839 ,317372 ,56925 ,279738 ,334625 ,318138 ,56396 ,280318 ,335033 ,318542 ,56112 ,281172 ,335253 ,318794 ,55527 ,281932 ,335477 ,318973 ,55278 ,282436 ,335259 ,318834 ,54791 ,283043 ,335082 ,318651 ,54229 ,283537 ,334987 ,318518 ,53900 ,284087 ,334914 ,318469 ,53232 ,NaN,335365 ,318845 ,52273 ,286061 ,335804 ,319111 ,51270 
안양시,223023 ,291182 ,295440 ,6999 ,222771 ,290421 ,294746 ,7018 ,222621 ,289781 ,294096 ,7086 ,222604 ,289388 ,293752 ,7192 ,222904 ,289393 ,294054 ,7237 ,222771 ,289103 ,293826 ,7272 ,222779 ,288662 ,293491 ,7269 ,222740 ,288281 ,292999 ,7211 ,222789 ,287872 ,292714 ,7223 ,222707 ,287230 ,292243 ,7286 ,222557 ,286581 ,291573 ,7378 ,222361 ,285816 ,291015 ,7408 ,222235 ,285185 ,290365 ,7409 ,222347 ,284666 ,290006 ,7444 ,222316 ,284123 ,289537 ,7426 ,222561 ,283958 ,289338 ,7449 ,222989 ,283867 ,289262 ,7430 ,223040 ,283570 ,289103 ,7424 ,223080 ,283185 ,288793 ,7404 ,223080 ,282861 ,288372 ,7409 ,223121 ,282458 ,288086 ,7405 ,223038 ,282129 ,287623 ,7472 ,223027 ,281682 ,287363 ,7528 ,222589 ,280652 ,286392 ,7420 ,222143 ,279857 ,285495 ,7447 ,221764 ,278678 ,284388 ,7450 ,221560 ,278194 ,283772 ,7375 ,221427 ,277727 ,283342 ,7283 ,221390 ,276997 ,282795 ,7202 ,221092 ,276140 ,281877 ,7154 ,220980 ,275318 ,281243 ,7042 ,220799 ,274506 ,280351 ,6941 ,220604 ,273677 ,279609 ,6845 ,220508 ,273030 ,279124 ,6796 ,NaN,272550 ,278746 ,6670 ,220552 ,271936 ,278091 ,6543 
평택시,205060 ,247285 ,235452 ,21470 ,206126 ,248070 ,236099 ,21643 ,207158 ,248877 ,236767 ,21682 ,208004 ,249525 ,237215 ,21774 ,208775 ,250104 ,237694 ,21932 ,209663 ,250812 ,238269 ,22081 ,210516 ,251445 ,238965 ,22227 ,211290 ,251941 ,239397 ,22338 ,211884 ,252264 ,239718 ,22457 ,212924 ,253115 ,240455 ,22619 ,213777 ,253788 ,240928 ,22949 ,214409 ,254336 ,241306 ,23030 ,215126 ,254764 ,241560 ,23088 ,216266 ,255766 ,242360 ,23233 ,217352 ,256654 ,242966 ,23154 ,218118 ,257342 ,243445 ,23349 ,218870 ,257863 ,243873 ,23454 ,219453 ,258217 ,244075 ,23581 ,220579 ,259229 ,244992 ,23693 ,220579 ,260106 ,245711 ,23910 ,222726 ,261089 ,246532 ,23997 ,223881 ,262086 ,247443 ,24190 ,224892 ,263039 ,248190 ,24315 ,226020 ,264012 ,249015 ,24108 ,227141 ,265037 ,249839 ,24259 ,228602 ,266206 ,250881 ,24477 ,230067 ,267360 ,251764 ,24268 ,231092 ,268331 ,252318 ,24192 ,232451 ,269109 ,253002 ,24101 ,234015 ,270183 ,253698 ,24066 ,235352 ,271051 ,254327 ,23984 ,236876 ,271992 ,255174 ,23857 ,238404 ,273077 ,256063 ,23687 ,240008 ,274461 ,257194 ,23463 ,NaN,275968 ,258375 ,23373 ,243838 ,277617 ,259690 ,23168 
시흥시,169192 ,221606 ,201340 ,32203 ,171055 ,223748 ,203421 ,32330 ,172327 ,225327 ,205001 ,32738 ,173202 ,226357 ,206070 ,32947 ,174065 ,227313 ,206960 ,32955 ,174650 ,228017 ,207538 ,33178 ,175280 ,228678 ,208111 ,33301 ,176588 ,230142 ,209543 ,33495 ,177408 ,230895 ,210246 ,33628 ,178754 ,232322 ,211506 ,33913 ,179881 ,233513 ,212738 ,34440 ,181061 ,234840 ,213847 ,34640 ,182238 ,236156 ,215026 ,34768 ,183872 ,237996 ,216804 ,34920 ,185316 ,239535 ,218075 ,34945 ,186443 ,240657 ,218944 ,35217 ,187572 ,241804 ,220011 ,35198 ,188623 ,242805 ,221031 ,35242 ,189663 ,243581 ,221934 ,35062 ,189663 ,244379 ,222583 ,35023 ,191649 ,245091 ,223183 ,35076 ,192885 ,246360 ,224399 ,35205 ,193706 ,247082 ,225080 ,35223 ,194750 ,247804 ,225878 ,34697 ,195728 ,248693 ,226703 ,34861 ,196529 ,249307 ,227174 ,34922 ,197185 ,249786 ,227639 ,34541 ,197801 ,250312 ,228152 ,34395 ,198558 ,250780 ,228588 ,34180 ,199896 ,251904 ,229526 ,34019 ,201498 ,253293 ,230871 ,33871 ,204039 ,255745 ,233332 ,33721 ,206249 ,257762 ,235243 ,33619 ,207689 ,258939 ,236452 ,33343 ,NaN,260233 ,237692 ,32938 ,211150 ,261730 ,239165 ,32410 
김포시,152711 ,197489 ,195977 ,18437 ,153608 ,198533 ,196977 ,18480 ,155295 ,200195 ,198643 ,18518 ,156622 ,201468 ,199917 ,18539 ,157909 ,202819 ,201296 ,18616 ,159040 ,204119 ,202563 ,18851 ,160670 ,205949 ,204384 ,18862 ,162149 ,207570 ,206006 ,18930 ,163052 ,208450 ,206880 ,19112 ,164245 ,209612 ,208046 ,19461 ,165462 ,211004 ,209361 ,19754 ,166635 ,212410 ,210760 ,19849 ,167874 ,213624 ,211939 ,19968 ,169015 ,214769 ,213007 ,19918 ,169659 ,215270 ,213484 ,19762 ,170318 ,215786 ,213966 ,19935 ,170957 ,216422 ,214674 ,19954 ,171553 ,216996 ,215171 ,19970 ,172079 ,217423 ,215541 ,20148 ,172079 ,217759 ,216018 ,20176 ,173001 ,218050 ,216294 ,20150 ,173501 ,218504 ,216709 ,20288 ,173966 ,218919 ,217087 ,20252 ,174613 ,219552 ,217669 ,20335 ,175008 ,219805 ,217984 ,20531 ,175827 ,220617 ,218885 ,20523 ,177491 ,222353 ,220718 ,20276 ,178668 ,223443 ,221982 ,20242 ,179727 ,224224 ,222814 ,20077 ,181013 ,225141 ,223898 ,19936 ,182608 ,226602 ,225240 ,19748 ,185741 ,229922 ,228583 ,19625 ,188308 ,232501 ,231234 ,19502 ,189990 ,234117 ,232967 ,19243 ,NaN,235230 ,234110 ,19033 ,193234 ,237507 ,236463 ,18796 
