배출년도,배출월,배출일,시군구명,배출량비율(%),배출횟수,배출횟수비율(%),세대수,남성인구,여성인구,외국인인구,배출량(kg)
2018,4,1,화성시,4.5,48118,4.21,283903.0,373610,348610,37023,102691.1
2018,4,1,포천시,4.2,3881,3.77,69028.0,80120,72190,12189,8113.3
2018,4,1,평택시,4.25,4326,3.88,208004.0,249525,237215,21774,9130.35
2018,4,1,파주시,3.94,14968,3.66,182723.0,224181,217436,10667,29605.85
2018,4,1,이천시,4.38,7491,3.98,87948.0,109076,104172,6854,18488.45
2018,4,1,의정부시,4.26,2549,4.14,181130.0,218426,224539,4365,4499.5
2018,4,1,의왕시,1.19,4298,3.8,58910.0,77281,77398,1168,7598.6
2018,4,1,용인시,4.12,62470,3.82,375809.0,501515,508308,17344,120714.7
2018,4,1,오산시,4.5,15601,4.11,87464.0,111495,105260,8769,31942.35
2018,4,1,여주시,4.49,2372,4.19,49146.0,56634,55264,3427,5650.8
2018,4,1,양주시,4.1,8824,3.73,85917.0,107686,104590,7107,17419.15
2018,4,1,안양시,5.5,1075,5.29,222604.0,289388,293752,7192,2005.9
2018,4,1,수원시장안구,4.33,16463,4.01,487028.0,605162,596617,39379,31150.25
2018,4,1,수원시권선구,4.48,24296,4.13,39379.0,605162,596617,0,45893.85
2018,4,1,수원시팔달구,4.08,7396,3.67,39379.0,605162,596617,0,13625.95
2018,4,1,수원시영통구,4.19,29499,3.86,39379.0,605162,596617,0,54172.45
2018,4,1,성남시분당구,3.92,326,3.79,17368.0,477730,486670,0,501.4
2018,4,1,성남시중원구,4.77,102,3.83,17368.0,477730,486670,0,197.6
2018,4,1,부천시,4.28,7081,3.94,337968.0,424548,427041,22351,13731.5
2018,4,1,동두천시,4.12,4247,3.75,42568.0,48276,48645,3255,8466.55
2018,4,1,남양주시,4.15,5022,3.93,259020.0,335970,337271,6785,9618.9
2018,4,1,군포시,4.28,3809,3.91,107022.0,138890,140744,6864,6889.15
2018,4,1,구리시,1.91,6636,3.68,77715.0,99260,100810,1403,12186.8
2018,4,1,광주시,0.05,125,1.37,143127.0,180189,171305,12398,246.35
2018,4,1,고양시,3.18,333,3.13,411178.0,511210,530541,12401,412.6
2018,4,2,화성시,3.92,43302,3.79,283903.0,373610,348610,37023,89428.26
2018,4,2,포천시,3.81,3813,3.71,69028.0,80120,72190,12189,7344.35
2018,4,2,평택시,4.09,4351,3.9,208004.0,249525,237215,21774,8789.1
2018,4,2,파주시,3.92,15534,3.79,182723.0,224181,217436,10667,29463.55
2018,4,2,이천시,3.79,6963,3.7,87948.0,109076,104172,6854,16002.55
2018,4,2,의정부시,4.07,2358,3.83,181130.0,218426,224539,4365,4301.6
2018,4,2,의왕시,6.3,4540,4.01,58910.0,77281,77398,1168,40226.75
2018,4,2,용인시,3.98,62544,3.82,375809.0,501515,508308,17344,116662.0
2018,4,2,오산시,3.78,13922,3.67,87464.0,111495,105260,8769,26849.5
2018,4,2,여주시,3.69,2051,3.63,49146.0,56634,55264,3427,4651.95
2018,4,2,양주시,3.86,8818,3.72,85917.0,107686,104590,7107,16396.7
2018,4,2,안양시,3.25,622,3.06,222604.0,289388,293752,7192,1185.0
2018,4,2,수원시장안구,3.81,15121,3.68,487028.0,605162,596617,39379,27449.55
2018,4,2,수원시권선구,3.84,21766,3.7,39379.0,605162,596617,0,39297.6
2018,4,2,수원시팔달구,4.12,8014,3.98,39379.0,605162,596617,0,13749.25
2018,4,2,수원시영통구,4.08,30066,3.94,39379.0,605162,596617,0,52831.85
2018,4,2,성남시중원구,3.66,106,3.98,17368.0,477730,486670,0,151.6
2018,4,2,성남시분당구,4.27,342,3.97,17368.0,477730,486670,0,545.65
2018,4,2,부천시,3.93,6780,3.77,337968.0,424548,427041,22351,12592.75
2018,4,2,동두천시,3.95,4296,3.8,42568.0,48276,48645,3255,8109.05
2018,4,2,남양주시,3.61,4493,3.52,259020.0,335970,337271,6785,8370.1
2018,4,2,군포시,3.8,3561,3.66,107022.0,138890,140744,6864,6115.45
2018,4,2,구리시,6.03,7116,3.94,77715.0,99260,100810,1403,38450.75
2018,4,2,광주시,5.96,481,5.26,143127.0,180189,171305,12398,26691.95
2018,4,2,고양시,3.81,380,3.57,411178.0,511210,530541,12401,494.6
2018,4,3,화성시,3.29,38535,3.37,283903.0,373610,348610,37023,75115.05
2018,4,3,포천시,3.19,3496,3.4,69028.0,80120,72190,12189,6150.05
2018,4,3,평택시,3.46,3907,3.5,208004.0,249525,237215,21774,7432.4
2018,4,3,파주시,3.58,14810,3.62,182723.0,224181,217436,10667,26858.75
2018,4,3,이천시,3.39,6621,3.52,87948.0,109076,104172,6854,14321.0
2018,4,3,의정부시,3.45,2143,3.48,181130.0,218426,224539,4365,3646.3
2018,4,3,의왕시,3.27,3983,3.52,58910.0,77281,77398,1168,20857.8
2018,4,3,용인시,3.44,57021,3.49,375809.0,501515,508308,17344,100707.7
2018,4,3,오산시,3.27,12763,3.36,87464.0,111495,105260,8769,23176.8
2018,4,3,여주시,3.43,1935,3.42,49146.0,56634,55264,3427,4318.05
2018,4,3,양주시,3.33,8137,3.44,85917.0,107686,104590,7107,14137.7
2018,4,3,안양시,3.33,671,3.3,222604.0,289388,293752,7192,1215.35
2018,4,3,수원시장안구,3.27,13708,3.34,487028.0,605162,596617,39379,23532.1
2018,4,3,수원시영통구,3.36,26321,3.45,39379.0,605162,596617,0,43515.3
2018,4,3,수원시팔달구,3.51,7202,3.57,39379.0,605162,596617,0,11710.45
2018,4,3,수원시권선구,3.43,20541,3.49,39379.0,605162,596617,0,35140.85
2018,4,3,성남시분당구,3.47,328,3.81,17368.0,477730,486670,0,443.3
2018,4,3,성남시중원구,3.07,94,3.53,17368.0,477730,486670,0,127.0
2018,4,3,부천시,3.39,6071,3.38,337968.0,424548,427041,22351,10880.15
2018,4,3,동두천시,3.2,3753,3.32,42568.0,48276,48645,3255,6574.15
2018,4,3,남양주시,3.24,4257,3.33,259020.0,335970,337271,6785,7506.0
2018,4,3,군포시,3.65,3517,3.61,107022.0,138890,140744,6864,5875.85
2018,4,3,구리시,3.84,6341,3.51,77715.0,99260,100810,1403,24453.4
2018,4,3,광주시,5.03,419,4.58,143127.0,180189,171305,12398,22550.6
2018,4,3,고양시,3.14,341,3.21,411178.0,511210,530541,12401,407.65
2018,4,4,화성시,2.99,35646,3.12,283903.0,373610,348610,37023,68303.76
2018,4,4,포천시,3.15,3318,3.22,69028.0,80120,72190,12189,6071.9
2018,4,4,평택시,3.04,3434,3.08,208004.0,249525,237215,21774,6533.65
2018,4,4,파주시,3.17,13585,3.32,182723.0,224181,217436,10667,23795.3
2018,4,4,이천시,3.02,5868,3.12,87948.0,109076,104172,6854,12755.8
2018,4,4,의정부시,3.32,2194,3.57,181130.0,218426,224539,4365,3507.25
2018,4,4,의왕시,3.77,3946,3.49,58910.0,77281,77398,1168,24048.15
2018,4,4,용인시,3.16,53661,3.28,375809.0,501515,508308,17344,92428.9
2018,4,4,오산시,3.14,12439,3.28,87464.0,111495,105260,8769,22253.05
2018,4,4,여주시,3.07,1706,3.02,49146.0,56634,55264,3427,3863.95
2018,4,4,양주시,3.11,7826,3.31,85917.0,107686,104590,7107,13197.9
2018,4,4,안양시,3.2,649,3.19,222604.0,289388,293752,7192,1168.65
2018,4,4,수원시영통구,3.15,25097,3.29,39379.0,605162,596617,0,40705.45
2018,4,4,수원시권선구,3.1,18972,3.23,39379.0,605162,596617,0,31756.3
2018,4,4,수원시팔달구,3.24,6841,3.39,39379.0,605162,596617,0,10820.7
2018,4,4,수원시장안구,3.15,13551,3.3,487028.0,605162,596617,39379,22685.8
2018,4,4,성남시중원구,2.51,73,2.74,17368.0,477730,486670,0,103.7
2018,4,4,성남시분당구,3.47,292,3.39,17368.0,477730,486670,0,443.5
2018,4,4,부천시,3.05,5729,3.19,337968.0,424548,427041,22351,9775.15
2018,4,4,동두천시,3.36,3906,3.45,42568.0,48276,48645,3255,6896.1
2018,4,4,남양주시,3.15,4260,3.34,259020.0,335970,337271,6785,7291.0
2018,4,4,군포시,3.27,3403,3.49,107022.0,138890,140744,6864,5275.05
2018,4,4,구리시,4.14,6133,3.4,77715.0,99260,100810,1403,26384.55
2018,4,4,광주시,3.47,307,3.36,143127.0,180189,171305,12398,15563.2
2018,4,4,고양시,3.22,352,3.31,411178.0,511210,530541,12401,418.35
2018,4,5,화성시,2.37,28053,2.46,283903.0,373610,348610,37023,54048.02
