시군명,상호명,소재지도로명주소,소재지지번주소,전화번호,사업장구분,사업장규모,월배출예상량(Kg),일배출예상량(Kg),처리방법구분,위탁업소명,위도,경도,데이터기준일자,비고
가평군,(사)청심복지재단,,,031-589-5344,집단급식소,60,2340,78,위탁재활용,(주)선풍산업,,,2021-06-28,
가평군,(재)에덴유스호스텔,,,031-581-2800,집단급식소,60,300,10,위탁재활용,농가,,,2021-06-28,
가평군,(재)에덴유스호스텔(한식당),,,,음식점,459,75,3,위탁재활용,개인농가,,,2021-06-28,
가평군,(주)가평스포랜드,,,031-584-3121,음식점,241.12,150,5,위탁재활용,언덕농장,,,2021-06-28,
가평군,(주)다함레저,,,031-585-7900,음식점,1001,6000,200,위탁재활용,신호환경,,,2021-06-28,
가평군,(주)동신가평지점 가평설악관광호텔,,,,음식점,100.08,300,10,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)블루랜드,,,,음식점,1098,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)블루랜드,,,,음식점,1098,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)쁘띠프랑스,,,,집단급식소,240,700,23,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)세종에스엠에스 리앤리지점,,,031-585-9935,음식점,1066.71,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)세종에스엠에스 리앤리지점,,,031-585-9935,음식점,1066.71,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)에스디 인터내셔날 나인블럭 가평점,,,031-580-3804,음식점,2644.18,1200,40,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)에스디 인터내셔날 나인블럭 키친,,,031-580-3905,음식점,484,900,30,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)에스디 인터내셔날 나인블럭 키친,,,031-580-3905,음식점,484,900,30,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)월드환경,,,,음식점,1016.29,2000,67,위탁재활용,(주)에코누리,,,2021-06-28,
