"시군별(1)",시군별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군별(1)",시군별(2),합계,합계,합계,대형마트,대형마트,대형마트,전문점,전문점,전문점,백화점,백화점,백화점,쇼핑센터,쇼핑센터,쇼핑센터,복합쇼핑몰,복합쇼핑몰,복합쇼핑몰,시장,시장,시장,시장,시장,시장,시장,시장,시장,기타대규모점포,기타대규모점포,기타대규모점포
"시군별(1)",시군별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,전통시장,전통시장,전통시장,상점가,상점가,상점가,소계,소계,소계
"시군별(1)",시군별(2),업체수 (개),판매면적 (㎡),건물연면적 (㎡),업체수 (개),판매면적 (㎡),건물연면적 (㎡),업체수 (개),판매면적 (㎡),건물연면적 (㎡),업체수 (개),판매면적 (㎡),건물연면적 (㎡),업체수 (개),판매면적 (㎡),건물연면적 (㎡),업체수 (개),판매면적 (㎡),건물연면적 (㎡),업체수 (개),점포수 (개),판매면적 (㎡),업체수 (개),점포수 (개),판매면적 (㎡),업체수 (개),점포수 (개),판매면적 (㎡),업체수 (개),판매면적 (㎡),건물연면적 (㎡)
"합계",소계,490,7364945,18333972,118,1352229,5841250,24,626981,1270096,17,576295,1731526,47,1058928,3392849,9,588920,2023388,197,32315,2452196,152,22154,1593037,45,10161,859159,78,709396,4074863
"남부",소계,378,5778535,14217260,86,971536,4482770,21,540414,1024295,12,403631,1247401,39,808479,2813148,6,406304,1345796,164,27872,2163915,128,18868,1342180,36,9004,821735,50,484256,3303851
"남부",수원시,49,962674,2600427,13,210730,787818,1,26247,35065,2,118254,343441,7,213468,651672,-,-,-,22,3239,314004,20,2949,237888,2,290,76116,4,79971,782431
"남부",성남시,47,406198,2009357,6,54337,425047,1,11967,29433,3,81457,275957,1,12310,91168,1,51185,237093,28,2628,142483,28,2628,142483,-,-,-,7,52459,950659
"남부",안양시,29,436183,803975,4,25513,89182,-,-,-,2,50914,156024,2,61977,221342,-,-,-,18,5015,178991,15,2410,140481,3,2605,38510,3,118788,337427
"남부",부천시,38,421278,965998,4,70829,193094,-,-,-,2,51542,159102,7,172558,520264,-,-,-,22,2251,113571,18,1787,63994,4,464,49577,3,12778,93538
