배출년도,배출월,배출일,시군구명,배출량(g),배출량비율(%),배출횟수,배출횟수비율(%)
2020,10,31,고양시,1302300,3.06,971,3.06
2020,10,31,과천시,306450,4.07,226,3.46
2020,10,31,구리시,19270450,2.97,6965,2.87
2020,10,31,군포시,6215900,3.14,3893,2.92
2020,10,31,남양주시,24173750,3.15,13490,2.94
2020,10,31,동두천시,6965200,3.17,4050,2.97
2020,10,31,부천시,20295850,3.23,12154,3.05
2020,10,31,성남시중원구,217450,2.79,158,2.8
2020,10,31,성남시분당구,415350,3,303,2.95
2020,10,31,수원시팔달구,11237800,3.19,7154,3.01
2020,10,31,수원시영통구,43473350,3,27035,2.94
2020,10,31,수원시장안구,23460900,3.1,14223,2.91
2020,10,31,수원시권선구,35359400,3.14,21196,2.95
2020,10,31,시흥시,14904100,3.03,8726,2.89
2020,10,31,안양시,7227600,3.14,4409,2.97
2020,10,31,양주시,19073400,3.18,11229,2.96
2020,10,31,여주시,5326300,3.6,2353,3.23
2020,10,31,오산시,25569775,3.11,14415,2.94
2020,10,31,용인시,102547950,3.11,61803,2.91
2020,10,31,의왕시,20016800,2.98,5618,2.97
2020,10,31,의정부시,8311950,3.08,4970,2.88
2020,10,31,이천시,14740550,3.19,6857,2.94
2020,10,31,파주시,25395886,3.19,14553,2.93
2020,10,31,평택시,7830850,3.15,4182,2.89
2020,10,31,포천시,7593600,3.61,3935,3.14
2020,10,31,하남시,11770500,2.71,239,3.09
2020,10,31,화성시,87807761,3.08,47130,2.88
2020,10,30,고양시,1329600,3.13,946,2.99
2020,10,30,과천시,219000,2.91,186,2.84
2020,10,30,구리시,25418000,3.92,7431,3.06
2020,10,30,군포시,5651100,2.85,3804,2.85
2020,10,30,남양주시,22731900,2.96,13562,2.95
2020,10,30,동두천시,6600650,3.01,4051,2.97
2020,10,30,부천시,18626100,2.97,11775,2.95
2020,10,30,성남시분당구,433700,3.14,319,3.1
2020,10,30,성남시중원구,274100,3.51,197,3.5
2020,10,30,수원시장안구,21741950,2.87,14173,2.9
2020,10,30,수원시권선구,32977850,2.93,21087,2.94
2020,10,30,수원시영통구,44008950,3.04,26541,2.89
