배출연도,배출월,광역시도,기초지자체,배출량(톤)
2017,7,서울특별시,종로구,87260
2017,7,서울특별시,중구,189784
2017,7,서울특별시,용산구,6679
2017,7,서울특별시,성동구,296140
2017,7,서울특별시,광진구,166759
2017,7,서울특별시,동대문구,55791
2017,7,서울특별시,중랑구,539912
2017,7,서울특별시,성북구,194719
2017,7,서울특별시,도봉구,2161188
2017,7,서울특별시,노원구,1200885
2017,7,서울특별시,은평구,91821
2017,7,서울특별시,서대문구,505564
2017,7,서울특별시,마포구,1305459
2017,7,서울특별시,양천구,394289
2017,7,서울특별시,강서구,193385
2017,7,서울특별시,구로구,55209
2017,7,서울특별시,금천구,372222
2017,7,서울특별시,영등포구,987471
2017,7,서울특별시,동작구,475039
2017,7,서울특별시,서초구,399451
2017,7,서울특별시,강동구,267455
2017,7,서울특별시,송파구,1885677
2017,7,부산광역시,중구,9596
2017,7,부산광역시,서구,97104
2017,7,부산광역시,동구,59401
2017,7,부산광역시,영도구,187073
2017,7,부산광역시,부산진구,708005
2017,7,부산광역시,동래구,528949
2017,7,부산광역시,남구,581596
2017,7,부산광역시,북구,853434
2017,7,부산광역시,해운대구,1248638
2017,7,부산광역시,사하구,793504
2017,7,부산광역시,금정구,460538
2017,7,부산광역시,강서구,375034
2017,7,부산광역시,연제구,438459
2017,7,부산광역시,수영구,321783
2017,7,부산광역시,사상구,675908
2017,7,부산광역시,기장군,412302
2017,7,대구광역시,중구,159911
2017,7,대구광역시,동구,179954
2017,7,대구광역시,서구,94536
2017,7,대구광역시,남구,169453
2017,7,대구광역시,북구,434359
2017,7,대구광역시,수성구,637832
2017,7,대구광역시,달서구,1377333
2017,7,대구광역시,달성군,138274
2017,7,인천광역시,중구,73377
2017,7,인천광역시,동구,220603
2017,7,인천광역시,미추홀구,620158
2017,7,인천광역시,연수구,894646
2017,7,인천광역시,남동구,388576
2017,7,인천광역시,부평구,620586
2017,7,인천광역시,계양구,346771
2017,7,인천광역시,서구,1304956
2017,7,인천광역시,강화군,34602
2017,7,광주광역시,동구,123848
2017,7,광주광역시,서구,850090
2017,7,광주광역시,남구,511996
2017,7,광주광역시,북구,705765
2017,7,광주광역시,광산구,457718
2017,7,대전광역시,동구,16888
2017,7,대전광역시,중구,11581
2017,7,대전광역시,서구,51232
2017,7,대전광역시,유성구,47495
2017,7,대전광역시,대덕구,15103
2017,7,울산광역시,중구,89861
2017,7,울산광역시,남구,31767
2017,7,울산광역시,동구,59431
2017,7,울산광역시,북구,29946
2017,7,경기도,수원시장안구,925873
2017,7,경기도,수원시권선구,1274998
2017,7,경기도,수원시팔달구,450294
2017,7,경기도,수원시영통구,1653160
2017,7,경기도,성남시중원구,5785
2017,7,경기도,성남시분당구,16862
2017,7,경기도,의정부시,74288
2017,7,경기도,안양시,47173
2017,7,경기도,부천시,194834
2017,7,경기도,평택시,272712
2017,7,경기도,동두천시,271811
2017,7,경기도,고양시,22096
2017,7,경기도,구리시,794581
2017,7,경기도,남양주시,222583
2017,7,경기도,오산시,880891
2017,7,경기도,군포시,215987
2017,7,경기도,의왕시,760770
2017,7,경기도,용인시,3768402
2017,7,경기도,파주시,1009860
2017,7,경기도,이천시,554793
