id,label
0,muskmelon
1,watermelon
2,papaya
3,papaya
4,apple
5,mango
6,apple
7,mothbeans
8,mungbean
9,lentil
10,blackgram
11,coconut
12,pomegranate
13,jute
14,coconut
15,pomegranate
16,apple
17,maize
18,rice
19,muskmelon
20,coffee
21,papaya
22,orange
23,papaya
24,chickpea
25,jute
26,mungbean
27,orange
28,pigeonpeas
29,rice
30,pomegranate
31,mothbeans
32,jute
33,lentil
34,jute
35,blackgram
36,jute
37,chickpea
38,chickpea
39,kidneybeans
40,rice
41,mango
42,blackgram
43,maize
44,mungbean
45,maize
46,pigeonpeas
47,coconut
48,muskmelon
49,maize
50,blackgram
51,coffee
52,grapes
53,mungbean
54,coffee
55,kidneybeans
56,cotton
57,apple
58,banana
59,lentil
60,watermelon
61,coconut
62,lentil
63,orange
64,papaya
65,blackgram
66,orange
67,rice
68,muskmelon
69,pigeonpeas
70,muskmelon
71,coconut
72,rice
73,banana
74,blackgram
75,papaya
76,banana
77,cotton
78,watermelon
79,orange
80,coffee
81,chickpea
82,jute
83,mothbeans
84,orange
85,mango
86,coffee
87,mothbeans
88,blackgram
89,pomegranate
90,maize
91,mothbeans
92,cotton
93,papaya
94,pigeonpeas
95,mothbeans
96,kidneybeans
97,coffee
98,blackgram
99,lentil
100,coconut
101,rice
102,orange
103,muskmelon
104,watermelon
105,kidneybeans
106,watermelon
107,banana
108,pigeonpeas
109,mothbeans
110,banana
111,rice
112,cotton
113,pomegranate
114,pigeonpeas
115,chickpea
116,maize
117,coconut
118,pomegranate
119,jute
120,pigeonpeas
121,grapes
122,blackgram
123,coconut
124,chickpea
125,blackgram
126,coconut
127,maize
128,banana
129,mothbeans
130,banana
131,kidneybeans
132,pomegranate
133,chickpea
134,coconut
135,orange
136,pigeonpeas
137,banana
138,banana
139,apple
140,kidneybeans
141,muskmelon
142,mungbean
143,mothbeans
144,coconut
145,cotton
146,apple
147,coconut
148,kidneybeans
149,mothbeans
150,mungbean
151,lentil
152,watermelon
153,mungbean
154,pigeonpeas
155,pigeonpeas
156,pigeonpeas
157,kidneybeans
158,maize
159,jute
160,chickpea
161,apple
162,orange
163,cotton
164,rice
165,coconut
166,grapes
167,lentil
168,watermelon
169,grapes
170,grapes
171,blackgram
172,pomegranate
173,chickpea
174,coconut
175,maize
176,lentil
177,grapes
178,watermelon
179,jute
180,coffee
181,coffee
182,kidneybeans
183,jute
184,mothbeans
185,kidneybeans
186,banana
187,kidneybeans
188,coconut
189,papaya
190,papaya
191,mungbean
192,mango
193,pomegranate
194,watermelon
195,pigeonpeas
196,maize
197,apple
198,blackgram
199,chickpea
200,grapes
201,grapes
202,banana
203,cotton
204,jute
205,pomegranate
206,mungbean
207,banana
208,rice
209,mungbean
210,maize
211,chickpea
212,chickpea
213,chickpea
214,apple
215,jute
216,kidneybeans
217,papaya
218,coffee
219,blackgram
220,kidneybeans
221,mango
222,mango
223,coconut
224,papaya
225,apple
226,chickpea
227,pomegranate
228,chickpea
229,muskmelon
230,apple
231,muskmelon
232,muskmelon
233,mango
234,mango
235,cotton
236,coconut
237,pomegranate
238,rice
239,muskmelon
240,coffee
241,papaya
242,mothbeans
243,maize
244,mango
245,muskmelon
246,pigeonpeas
247,mungbean
248,coffee
249,grapes
250,coconut
251,cotton
252,pigeonpeas
253,rice
254,apple
255,pomegranate
