N,P,K,temperature,humidity,ph,rainfall,label
22,36,16,30.58139475,50.77148138,8.18422855,64.58559639,mothbeans
18,27,41,22.36509395,92.30882391,7.1753443279999995,104.8216333,pomegranate
61,68,50,35.21462816,91.49725058,6.7932454170000005,243.0745066,papaya
26,72,22,28.76794904,37.57792132,4.674941549,91.72084869,pigeonpeas
2,140,197,22.69780133,92.82223419,5.53456749,105.05082340000001,apple
14,67,15,19.56376468,24.67385131,5.690065688,139.2921004,kidneybeans
37,23,12,31.52675982,90.50621806,6.395258356,113.11693980000001,orange
36,57,16,28.61409059,57.14218792,8.292875733999999,57.02891698,mothbeans
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
29,16,36,19.81069447,88.92944254,5.7403380020000006,102.860084,pomegranate
0,29,32,28.05912437,98.3670985,5.8682558579999995,171.65163959999995,coconut
10,24,27,27.57283516,94.90485697,5.7084096010000005,145.9298935,coconut
100,56,40,26.38905406,83.31240346,7.433313409,176.1516409,jute
4,18,37,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate
27,56,22,19.91853092,20.70099804,5.833010957999999,108.6434544,kidneybeans
19,36,22,25.44689075,58.55363573,6.16496284,57.04826619,mothbeans
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,jute
35,69,23,16.78791503,24.96881755,5.578410206,75.45328039,kidneybeans
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
31,58,15,28.31886863,60.19461399,6.167855382000001,45.36521251,lentil
39,52,53,32.51247398,94.65904123,6.704204398,51.07048113,papaya
9,16,39,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate
1,30,10,11.89925671,91.34663797,7.291405641,103.5771468,orange
51,72,75,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,chickpea
72,41,36,26.50838667,86.84264005,6.065898282999999,152.9801697,jute
23,5,44,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean
17,136,195,41.20733624,81.61051026,6.389783283,65.90227462,grapes
10,37,22,28.7275267,89.12760359,7.069747813999999,58.52974279,mungbean
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,mango
87,14,48,29.69238699,92.58862544,6.606033244,29.110259399999997,muskmelon
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
24,18,6,26.56608303,94.45239715,6.285312759,116.37965249999999,orange
5,55,18,33.50876355,45.70976142,7.322097972000001,126.6738117,pigeonpeas
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
89,58,35,23.98651719,82.09053379,6.096838784,167.0576456,jute
117,37,32,23.106938500000002,67.06230539,6.787658922,162.57696059999995,coffee
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize
10,70,19,24.84918386,68.98088448,7.272427638,41.61080544,lentil
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,kidneybeans
37,18,39,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
37,52,47,43.08022702,93.90305729,6.54277684,211.8529059,papaya
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
35,80,25,28.09269012,44.93322042,4.895927306,197.11440109999998,pigeonpeas
91,13,47,29.10968327,92.43510994,6.14410903,27.95602304,muskmelon
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,kidneybeans
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
95,57,41,23.24925555,73.65346838,6.434610995,184.7674863,jute
22,70,19,18.23775702,21.07643273,5.515615023,69.44951585,kidneybeans
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,chickpea
123,50,16,23.04920461,75.53835214,6.4980521079999995,70.65644296,cotton
26,52,23,29.98835437,49.60384796,4.931890506,52.92929636,mothbeans
2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,apple
47,46,52,23.19451074,91.40301608,6.502289472999999,206.39992080000002,papaya
5,29,44,21.02432943,93.0569505,5.578095745,104.7847006,pomegranate
109,36,18,25.40059227,76.53237965,7.524707577,62.51388670000001,cotton
5,16,31,35.96054636,48.69677802,4.555688532,98.00644238,mango
40,140,195,14.97846952,80.49979873,6.2943956760000015,71.63437433,grapes
12,34,28,33.36140093,45.02236377,6.13526938,98.81596545,mango
99,40,32,24.18471151,69.94807345,7.0455430560000005,163.27087319999995,coffee
120,23,28,25.67324193,51.29043632,6.877799264,196.2736367,coffee
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,cotton
3,56,17,28.19912143,53.50567601,8.709291687999999,52.13580529,mothbeans
37,18,30,27.63551259,99.34854917,6.38488418,157.91715369999997,coconut
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut
27,10,33,27.81132822,97.48410555,6.4659063329999995,154.06212209999995,coconut
40,136,202,22.85267372,94.57645809999998,5.935336307999999,117.53140259999998,apple
39,9,15,25.35467646,91.81183218,7.992041984,116.75559369999999,orange
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,mango
14,18,35,31.09154239,47.02058367,4.791146778,91.46664318,mango
14,19,14,17.68408797,94.35815354,6.699164936,108.0638166,orange
104,73,46,29.140091899999998,80.1190228,6.28236237,90.45142867,banana
30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,apple
35,125,204,19.6491772,80.15215777,6.107741787999999,73.69529586,grapes
20,68,17,30.11873003,60.11680815,6.578714842999999,71.72980375,blackgram
34,66,17,18.81097271,21.27833035,5.889614577000001,125.084915,kidneybeans
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,grapes
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton
19,79,19,20.06003985,67.76252583,6.677262562,42.89509057,lentil
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,mothbeans
28,130,196,22.13450646,94.67695747,6.062356467000001,112.9203223,apple
72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,jute
24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,lentil
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,coffee
5,23,15,25.66901098,92.04670813,7.408939392000001,112.5424199,orange
3,69,23,28.67408774,63.18832976,7.2993607670000005,42.96018627,lentil
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram
94,89,48,28.55980972,84.51602322,5.653437902,111.08430290000001,banana
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
90,59,35,24.25133493,89.86454053,7.098227926,175.1742112,jute
45,57,47,23.16855863,90.78821158,6.656458831,161.68920930000004,papaya
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil
30,13,25,27.15116142,91.48889469,6.413184638,164.9182225,coconut
32,57,18,15.53834801,23.75560241,5.695422862999999,107.3850593,kidneybeans
27,63,19,20.93409877,21.189300699999997,5.562201934,133.1914419,kidneybeans
20,50,22,30.99694676,46.42693735,9.406887532999999,38.31597852,mothbeans
45,47,55,38.419162799999995,91.14220381,6.751452932,119.2653877,papaya
39,76,76,19.96837462,15.57324389,8.135900726000001,69.15759062,chickpea
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon
21,26,27,27.00315545,47.67525434,5.6995869720000005,95.85118326,mango
29,35,28,28.347161100000005,53.53903102,6.9674177660000005,90.40260445,mango
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
80,77,49,26.05433004,79.39654531,5.5190884229999995,113.2297373,banana
60,55,44,23.00445915,82.3207629,7.840207144,263.96424759999996,rice
24,45,19,26.85851927,48.8246387,5.9523849570000005,34.7426459,mothbeans
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
7,79,23,19.636534899999997,19.68751084,5.821649914,96.65888933,kidneybeans
21,63,17,25.08966129,68.17543102,6.5596818379999995,41.45486619,lentil
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,chickpea
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton
39,60,15,35.09357419,30.98685456,5.004074623999999,116.91069080000001,pigeonpeas
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea
87,25,46,27.42711692,90.02696201,6.379690748,21.750877399999997,muskmelon
35,135,199,21.77466746,80.54942557,6.400719746,69.39630398,grapes
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil
17,136,196,23.87192332,90.49939035,5.882155987999999,103.05480940000001,apple
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249,mungbean
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,chickpea
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton
43,79,79,19.40751744,18.98030507,7.8067476560000015,80.25064637,chickpea
16,80,20,31.24021696,56.67369054,7.3393209289999986,122.0146733,pigeonpeas
6,125,204,27.92004934,82.93262435,5.7335398070000005,69.92092839,grapes
31,130,198,21.80129837,92.73446667,5.554823557000001,120.05866709999998,apple
28,58,24,19.72702528,18.28173015,5.748190462999999,143.7630894,kidneybeans
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,blackgram
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram
24,70,21,19.14729038,45.373375700000004,5.5172080779999995,132.7748215,pigeonpeas
86,31,35,27.01207284,60.76645256,6.485761419,191.45089309999997,coffee
28,58,25,27.481864899999998,62.04814951,6.861640036,37.81123974,lentil
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton
27,13,6,13.36050601,91.35608208,7.335158382,111.2266885,orange
21,9,40,24.51147697,90.64498715,5.956401828,105.62099540000001,pomegranate
1,17,6,10.78689755,91.38411917,6.8198270999999995,117.5293447,orange
13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,apple
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,mothbeans
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,coffee
10,56,18,27.99627907,68.6428593,7.32710972,46.10585191,lentil
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
13,17,45,21.25433607,92.65058936,7.159520979,106.27846729999999,pomegranate
