ID,company,model,year,transmission,mileage,fueltype,tax,mpg,engineSize,price
0,2, Focus,2019,1,3764,4,145,34.5,2.3,26299
1,1, I10,2015,1,27056,4,20,60.1,1.0,5495
2,3, A3,2019,3,3375,4,145,34.5,2.0,32400
3,3, A6,2019,0,5743,0,145,47.9,2.0,29990
4,2, Fiesta,2015,1,32782,4,0,65.7,1.0,7250
5,1, Tucson,2017,1,9146,0,150,61.7,1.7,14498
6,3, A1,2016,1,24015,4,0,67.3,1.0,11698
7,4, Aygo,2018,3,372,4,150,67.3,1.0,10290
8,3, Q5,2019,3,8566,0,145,38.2,2.0,33500
9,3, A1,2016,1,27400,4,30,55.4,1.4,11760
10,3, A1,2016,1,29526,4,0,67.3,1.0,11000
11,0, 4 Series,2019,3,7949,0,150,65.7,2.0,22490
12,2, Kuga,2017,1,38535,0,145,54.3,2.0,14500
13,3, Q3,2015,1,99590,0,160,49.6,2.0,12500
14,3, A1,2016,1,16552,4,30,57.6,1.4,11450
15,0, X5,2018,0,25930,4,145,29.1,4.4,37498
16,2, Fiesta,2019,3,5572,4,145,48.7,1.0,15700
17,0, 5 Series,2019,0,2701,0,145,62.8,2.0,29450
18,0, M4,2016,0,33113,4,300,34.0,3.0,32983
19,3, A3,2019,1,4950,0,150,49.6,1.6,19000
20,3, Q5,2016,1,44912,0,205,47.9,2.0,18800
21,3, A4,2020,3,5000,0,145,39.2,3.0,47990
22,4, Yaris,2014,0,22581,2,0,80.7,1.5,10126
23,0, 3 Series,2015,0,33330,0,125,60.1,2.0,13960
24,0, X5,2019,3,4000,0,145,37.7,3.0,52004
25,1, IX20,2016,1,21304,0,30,64.2,1.6,7769
26,3, A3,2019,3,12066,4,145,42.2,1.5,22490
27,4, Yaris,2017,0,25262,2,135,67.3,1.5,12990
28,0, 3 Series,2019,3,4629,0,150,48.7,2.0,29950
29,2, Fiesta,2016,1,28720,4,0,65.7,1.0,9210
30,3, A1,2016,1,36462,0,0,76.3,1.6,9800
31,3, A5,2019,0,500,0,145,49.6,2.0,27500
32,0, 3 Series,2018,0,32117,0,145,64.2,2.0,17399
33,1, Tucson,2019,3,4500,4,145,36.2,1.6,21795
34,3, TT,2019,0,6000,4,145,38.7,2.0,29975
35,0, 3 Series,2019,3,7736,2,135,8.8,2.0,33699
36,3, Q5,2019,3,6273,0,145,38.2,2.0,35500
37,3, Q2,2017,3,26500,4,145,54.3,1.4,18552
38,3, A5,2014,1,23550,4,145,49.6,1.8,12020
39,2, Mustang,2019,1,813,4,145,22.8,5.0,40000
40,2, C-MAX,2015,1,10500,4,30,55.4,1.0,10795
41,3, Q7,2019,3,10492,0,145,33.6,3.0,41750
42,3, Q5,2018,3,21357,0,150,55.4,2.0,28970
43,2, Fiesta,2014,1,36677,4,30,54.3,1.2,6491
44,2, Fiesta,2018,1,23345,4,145,62.8,1.0,10390
45,2, Fiesta,2008,1,54733,4,145,47.9,1.6,4299
46,3, Q5,2016,3,27041,0,200,47.1,2.0,23142
47,0, 4 Series,2020,3,10,0,145,50.4,3.0,32995
48,2, Kuga,2019,0,10671,4,145,31.0,1.5,21000
49,0, 5 Series,2020,3,999,2,145,49.6,2.0,30995
50,2, B-MAX,2017,1,14552,4,145,47.1,1.4,10500
51,3, A1,2016,3,19158,4,30,57.6,1.4,14995
52,2, Kuga,2016,0,74000,0,145,52.3,2.0,12295
53,2, Focus,2018,1,13867,4,150,41.5,2.0,18800
54,4, RAV4,2017,0,48265,2,20,55.4,2.5,20690
55,3, Q7,2019,0,14495,0,145,32.8,3.0,47555
56,3, A1,2016,1,17397,4,30,55.4,1.4,11500
57,2, Edge,2017,0,20540,0,160,48.7,2.0,19997
58,2, EcoSport,2018,3,12803,4,145,48.7,1.0,12980
59,3, Q2,2020,1,1500,4,145,43.5,0.0,24990
60,0, X2,2020,3,5,4,145,39.8,2.0,31990
61,4, Verso,2018,3,3252,4,145,43.5,1.8,17995
62,2, Fiesta,2014,1,61686,4,0,65.7,1.0,5999
63,2, Fiesta,2013,1,69315,4,30,54.3,1.2,4698
64,1, Tucson,2019,3,5000,2,145,50.4,1.6,26995
65,4, Yaris,2017,1,58000,4,30,58.0,1.3,6995
66,2, Kuga,2018,3,36175,0,145,58.9,1.5,13499
67,0, 4 Series,2019,0,6890,0,145,65.7,2.0,25449
68,2, Mondeo,2015,1,32508,0,20,68.9,2.0,11275
69,0, 1 Series,2017,3,16875,4,145,39.8,3.0,20498
70,3, A3,2019,3,8932,0,145,54.3,1.6,20000
71,2, Mondeo,2017,3,30191,0,125,58.9,2.0,12950
72,0, 3 Series,2019,3,11944,4,145,44.8,2.0,22780
73,2, EcoSport,2017,1,20590,4,125,52.3,1.0,10200
74,1, Tucson,2019,3,4371,0,145,47.1,1.6,21452
75,3, A4,2018,0,32389,0,150,61.4,2.0,22300
76,2, Puma,2020,1,2075,4,145,50.4,1.0,19970
77,4, Yaris,2017,1,35655,4,30,58.0,1.3,7998
78,0, X4,2019,3,10792,0,150,42.8,2.0,33898
79,1, I30,2017,1,13692,4,145,56.5,1.0,9998
80,2, Fiesta,2018,1,31925,4,145,65.7,1.0,9150
81,0, 4 Series,2018,3,27120,4,150,48.7,2.0,17980
82,2, Fiesta,2019,1,14000,4,145,58.9,1.0,13000
83,0, 1 Series,2018,1,17613,4,145,37.7,1.5,13750
84,3, A5,2018,3,15000,4,150,50.4,2.0,26900
85,4, Auris,2014,0,38937,2,0,76.4,1.8,11480
86,0, 1 Series,2017,1,31000,0,20,68.9,2.0,11490
87,2, Focus,2017,1,11323,4,200,41.5,2.0,18250
88,3, A4,2019,3,10221,4,145,38.2,2.0,25986
89,1, Tucson,2016,1,14756,0,30,61.7,1.7,12298
90,0, X1,2017,0,80591,0,30,65.7,2.0,14470
91,4, Corolla,2019,0,9000,2,135,78.5,1.8,22990
92,2, Kuga,2018,1,16370,0,145,64.2,1.5,17250
93,4, C-HR,2019,0,10494,2,140,74.3,1.8,23495
94,4, Yaris,2017,1,16058,4,150,58.9,1.5,9695
95,3, A3,2015,3,27151,4,200,39.2,2.0,22490
96,2, EcoSport,2017,0,11016,4,160,44.8,1.5,11500
97,0, 3 Series,2019,1,2454,0,145,54.3,2.0,29888
98,3, Q2,2019,1,6190,4,145,47.1,1.0,19991
99,0, M4,2019,0,144,4,145,34.0,3.0,41986
100,2, Fiesta,2016,1,22740,4,0,65.7,1.0,9000
101,3, Q3,2015,1,35446,0,145,54.3,2.0,13995
