Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET
0,0,0,0,0,1.5,69.08,-12,0
0,0,30,0,0,1.5,69.06,-12,0
0,1,0,0,0,1.6,71.78,-12,0
0,1,30,0,0,1.6,71.75,-12,0
0,2,0,0,0,1.6,75.2,-12,0
0,2,30,0,0,1.5,69.29,-11,0
0,3,0,0,0,1.5,72.56,-11,0
0,3,30,0,0,1.4,72.55,-11,0
0,4,0,0,0,1.3,74.62,-11,0
0,4,30,0,0,1.3,74.61,-11,0
0,5,0,0,0,1.3,73.74,-11,0
0,5,30,0,0,1.3,73.73,-11,0
0,6,0,0,0,1.4,72.22,-12,0
0,6,30,0,0,1.4,72.22,-12,0
0,7,0,0,0,1.4,70.27,-12,0
0,7,30,0,0,1.6,64.83,-10,0
0,8,0,29,494,1.8,65.45,-9,7.039286991
0,8,30,61,7,1.9,55.9,-7,5.912871119
0,9,0,58,743,2.1,57.39,-6,22.33726765
0,9,30,67,811,1.9,53.15,-4,29.46952894
0,10,0,138,368,1.8,55.99,-3,25.33976234
0,10,30,178,224,1.9,55.97,-3,25.1520604
0,11,0,193,261,2,58.43,-3,28.71839732
0,11,30,189,364,2.3,58.41,-3,33.12939298
0,12,0,190,37,2.6,59.19,-3,19.42715113
0,12,30,213,133,2.9,59.18,-3,25.71516623
0,13,0,211,114,3.2,63.27,-4,24.58922479
0,13,30,185,101,3.1,63.27,-4,21.30440468
0,14,0,124,2,3,62.84,-4,11.73150038
0,14,30,135,69,2.7,62.85,-4,14.73476447
0,15,0,62,0,2.5,68.55,-5,5.818888131
0,15,30,73,39,2.2,68.55,-5,7.602095784
0,16,0,41,11,2,70.27,-6,4.035724827
0,16,30,10,0,2,70.28,-6,0.938540658
0,17,0,0,0,2,71.33,-7,0
0,17,30,0,0,2,71.35,-7,0
0,18,0,0,0,2.1,76.43,-8,0
0,18,30,0,0,2.2,76.44,-8,0
0,19,0,0,0,2.3,76.72,-8,0
0,19,30,0,0,2.2,76.72,-8,0
0,20,0,0,0,2.2,77.51,-8,0
0,20,30,0,0,2,77.51,-8,0
0,21,0,0,0,1.9,83.46,-9,0
0,21,30,0,0,1.8,83.46,-9,0
0,22,0,0,0,1.8,83.36,-9,0
0,22,30,0,0,1.7,83.36,-9,0
0,23,0,0,0,1.7,90.86,-10,0
