시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속,월,일,년
0,26,76018.965,5009.811,36887.341,117916.117,40.467,21.667,17.75,0.0,2.725,9,25,2019
1,24,1232416.9679999999,76043.955,451558.268,1760019.1909999999,38.126,31.632,13.3,14.5,4.5,3,4,2018
1,23,134260.946,8412.761,78177.981,220851.688,51.107,45.643,5.25,0.5,4.95,4,7,2018
1,25,289327.429,39102.424,287029.303,615459.156,33.067,48.0,26.3,0.5,1.5,8,14,2019
1,7,1116617.66,96560.651,524905.301,1738083.612,40.392,26.961,8.4,44.0,4.3,12,1,2019
1,27,1049275.873,103672.727,613696.15,1766644.749,33.161,42.323,26.6,17.0,1.2,7,27,2019
0,36,70443.224,18799.982,208955.92,298199.127,47.3,47.5,13.1,0.0,1.9,4,6,2019
1,25,311554.979,38341.924,322040.015,671936.918,33.375,46.25,5.6,0.0,2.1,2,26,2019
1,5,729910.4909999998,76169.095,626967.598,1433047.185,50.29,52.72,21.14,3.6,3.3,8,16,2019
1,21,283508.414,49253.965,184769.247,517531.626,52.969,41.53100000000001,11.867,0.0,4.867,4,15,2019
0,36,81567.168,13437.398000000001,108711.94,203716.50699999998,47.062,50.094,7.5,0.0,3.8,3,14,2020
0,6,80064.705,32781.692,100784.587,213630.983,39.957,19.043,18.5,0.5,1.7,4,4,2018
0,40,394027.956,29259.87,161233.536,584521.3620000001,54.389,51.222,18.633,0.0,9.833,6,7,2019
0,0,210687.145,22894.077,99436.121,333017.344,44.20399999999999,30.816,22.6,0.0,0.0,9,18,2019
1,12,236594.68899999998,43066.664000000004,369789.94299999997,649451.296,30.455,28.818,8.0,0.0,3.0,2,24,2019
0,20,105450.21800000001,9603.346,71769.849,186823.413,37.889,28.222,23.4,0.0,1.3,9,6,2018
0,6,84552.37400000001,10777.89,77944.591,173274.85600000006,40.0,18.217,3.3,0.0,2.2,12,8,2018
1,4,98865.349,12152.794,77069.76400000001,188087.908,35.0,103.2,8.8,0.0,2.4,4,8,2020
1,4,99397.837,11972.302,72433.978,183804.116,35.8,65.7,2.4,1.0,4.4,3,4,2020
1,12,238659.07,47305.22900000001,337644.355,623608.654,29.273000000000003,30.091,0.1,1.0,2.7,2,9,2019
1,17,552094.45,47348.232,239126.393,838569.075,38.912,28.118,4.2,0.0,2.967,2,23,2020
1,21,281245.439,18485.863,183452.163,483183.464,52.438,42.40600000000001,12.967,0.0,2.067,11,4,2018
1,37,31513.415,4997.753,64486.225999999995,100997.394,33.0,24.25,26.8,94.5,6.2,8,11,2019
0,1,286450.92,24545.081000000002,186151.612,497147.61299999995,49.978,48.717,18.15,0.75,4.675,6,7,2019
1,31,141517.157,9089.776,90402.2,241009.13199999998,41.333,15.833,24.4,1.5,4.1,6,29,2019
0,40,448274.414,26965.987,119226.031,594466.432,53.944,50.222,13.533,27.0,6.9,3,9,2020
0,14,239958.52800000002,18521.457,82398.367,340878.351,45.865,32.946,9.5,11.5,2.4,3,7,2020
1,24,1180905.341,181592.973,528139.162,1890637.476,36.218,34.402,0.7,0.0,2.4,11,22,2018
1,23,138152.574,7422.3830000000025,82175.561,227750.518,48.879,56.03,16.55,4.0,3.2,11,24,2019
0,22,182238.488,22193.251,128935.42800000001,333367.168,48.889,44.056,5.8,0.5,2.9,11,9,2018
0,20,115388.811,5362.746,75090.484,195842.04100000003,38.556,27.778,6.0,0.0,1.6,1,27,2019
0,39,274435.945,21248.842,243974.359,539659.1460000001,46.952,58.143,11.2,0.0,4.8,3,30,2019
0,16,312617.07399999996,22941.318,145574.396,481132.78799999994,38.323,33.968,13.8,0.0,2.0,4,18,2020
0,40,388328.67,20417.838,149519.053,558265.561,53.526,43.21100000000001,5.9,0.0,8.933,2,21,2018
1,24,1136377.065,136283.22199999998,621966.767,1894627.054,38.483,33.701,5.5,0.0,1.0,3,19,2019
0,18,378240.67799999996,50556.420999999995,178201.08399999997,606998.183,39.917,33.792,22.5,0.0,2.6,5,23,2019
0,28,48084.42,20890.471999999998,99349.201,168324.093,56.714,39.286,20.1,0.0,1.1,6,3,2019
0,30,46882.126,7421.91,108026.382,162330.418,57.0,31.625,19.0,1.0,2.2,6,8,2019
0,19,388288.018,60950.697,221091.776,670330.491,46.838,48.514,15.3,0.0,1.9,11,4,2019
1,35,229417.212,17406.133,121117.565,367940.91,35.0,26.5,8.2,0.0,2.5,4,9,2020
0,36,69767.517,18717.158,223058.58899999998,311543.26399999997,46.2,49.467,9.05,0.0,3.55,4,8,2018
0,0,219274.76100000003,27095.431,99446.237,345816.429,44.438,31.354,15.6,0.0,1.2,11,6,2019
0,18,391999.516,42068.854000000014,186288.468,620356.838,38.917,34.958,25.5,0.0,0.8,8,19,2019
1,10,111052.59599999999,14385.341999999999,96264.695,221702.633,39.25,18.25,5.3,0.0,3.7,3,4,2020
0,18,392318.21,47881.872,171200.573,611400.654,39.96,31.04,20.9,0.0,0.8,7,3,2019
0,22,205155.21300000002,10023.552,136618.606,351797.37100000004,49.167,43.167,9.9,0.0,2.7,5,6,2019
0,18,401471.189,45594.950999999994,170272.985,617339.125,39.0,34.375,12.5,0.0,1.0,11,25,2019
0,28,46114.608,20639.414,105135.9,171889.922,58.286,32.857,21.8,22.5,1.5,9,7,2018
1,5,750784.7270000002,83680.849,473203.50399999996,1307669.08,50.129,54.645,20.82,47.7,2.86,9,2,2019
1,27,1243040.606,175513.458,460608.294,1879162.3590000002,27.423,40.923,20.7,382.0,4.9,10,5,2018
1,34,151673.063,13615.823,165566.61,330855.49600000004,42.2,41.4,7.1,0.0,2.3,12,15,2019
0,14,203060.658,24975.982000000004,174186.171,402222.811,49.312,33.25,28.4,0.0,1.4,8,10,2018
0,39,276479.19899999996,20376.0,202719.658,499574.857,46.333,60.095,4.3,0.0,2.4,12,15,2018
1,5,723913.75,77508.652,487322.396,1288744.798,50.427,52.92100000000001,-6.8,5.25,5.7,12,28,2018
1,2,152797.826,23660.051,198005.424,374463.30100000004,32.0,22.0,11.3,0.0,3.4,11,24,2018
1,8,66925.092,7396.695,83358.568,157680.355,25.222,22.667,13.6,0.0,1.5,4,20,2018
1,31,135679.014,16728.356,97663.161,250070.53,32.333,16.833,15.5,0.0,2.2,5,11,2018
0,14,225728.512,21109.44,81407.36099999999,328245.313,45.73,33.351,5.7,0.0,3.7,2,7,2020
0,1,277773.567,24361.001,146977.047,449111.615,52.543,41.0,14.55,30.625,2.925,4,29,2019
0,0,243158.414,12721.463,83885.326,339765.203,45.875,29.792,10.0,0.0,1.8,4,5,2020
1,27,1060661.926,116912.89300000001,597017.535,1774592.354,34.094,43.844,20.7,0.0,1.9,6,22,2019
0,26,81814.22,2421.638,58261.32900000001,142497.187,40.067,19.8,16.775,0.0,3.475,9,25,2018
0,1,265332.04600000003,26295.314,165673.051,457300.41,52.714,41.4,15.775,1.625,3.2,5,2,2018
0,0,219809.063,19619.69,122432.963,361861.716,45.146,31.09800000000001,8.3,0.0,1.5,1,24,2019
1,3,391784.042,42936.665,327858.733,762579.44,51.8,46.8,13.167,0.0,2.8,3,27,2019
1,11,441099.141,24256.874,99924.537,565280.551,30.571,17.857,13.667,0.0,1.867,4,18,2019
1,11,444061.43799999997,21153.028,118923.397,584137.8620000001,27.857,22.0,23.0,0.0,1.833,8,23,2019
0,19,303313.131,48746.278,191743.419,543802.828,50.536,45.5,7.7,0.0,2.8,12,18,2018
0,20,106540.662,11640.483999999999,83262.524,201443.67,37.333,28.556,19.5,8.0,2.8,5,28,2018
0,19,390161.61100000003,49465.41,271535.646,711162.667,46.784,48.541,21.4,15.5,4.4,6,6,2019
1,11,492810.66299999994,14685.378999999999,137832.229,645328.272,32.857,15.571,24.367,0.0,1.467,7,15,2018
