Id,Category
0,6
1,1
2,0
3,0
4,9
5,7
6,0
7,3
8,0
9,3
10,4
11,2
12,7
13,4
14,2
15,2
16,5
17,1
18,1
19,0
20,4
21,1
22,1
23,2
24,9
25,5
26,3
27,8
28,5
29,0
30,9
31,4
32,7
33,4
34,2
35,2
36,7
37,8
38,2
39,6
40,7
41,9
42,6
43,8
44,3
45,0
46,9
47,2
48,8
49,9
50,7
51,8
52,6
53,9
54,1
55,2
56,6
57,4
58,8
59,9
60,2
61,7
62,5
63,3
64,0
65,9
66,9
67,2
68,8
69,5
70,2
71,9
72,2
73,7
74,4
75,9
76,6
77,6
78,5
79,5
80,1
81,2
82,6
83,9
84,7
85,0
86,5
87,8
88,9
89,2
90,9
91,8
92,1
93,3
94,8
95,9
96,8
97,1
98,1
99,1
100,0
101,4
102,4
103,6
104,0
105,4
106,0
107,0
108,3
109,4
110,1
111,3
112,8
113,2
114,8
115,1
116,8
117,1
118,4
119,2
120,2
121,7
122,4
123,5
124,2
125,7
126,2
127,7
128,9
129,1
130,2
131,2
132,9
133,3
134,6
135,1
136,1
137,9
138,1
139,2
140,4
141,4
142,7
143,1
144,6
145,1
146,0
147,9
148,6
149,2
150,7
151,8
152,2
153,5
154,4
155,3
156,2
157,8
158,7
159,8
160,9
161,5
162,5
163,2
164,4
165,1
166,8
167,6
168,5
169,6
170,4
171,4
172,8
173,0
174,2
175,3
176,1
177,6
178,8
179,0
180,9
181,1
182,1
183,5
184,9
185,7
186,1
187,4
188,0
189,1
190,3
191,6
192,1
193,7
194,6
195,2
196,1
197,7
198,1
199,3
200,7
201,6
202,2
203,6
204,3
205,4
206,3
207,6
208,3
209,7
210,5
211,1
212,9
213,4
214,6
215,8
216,5
217,9
218,8
219,0
220,5
221,7
222,0
223,2
224,5
225,5
226,1
227,2
228,7
229,4
230,7
231,5
232,7
233,2
234,6
235,5
236,2
237,3
238,3
239,9
240,2
241,3
242,2
243,3
244,6
245,2
246,1
247,7
248,5
249,3
250,2
251,3
252,5
253,3
254,0
255,9
256,9
257,1
258,1
259,9
260,7
261,0
262,1
263,8
264,9
265,0
266,0
267,8
268,8
269,9
270,9
271,9
272,5
273,2
274,7
275,4
276,9
277,9
278,1
279,0
280,1
281,6
282,3
283,3
284,6
285,7
286,2
287,1
288,2
289,7
290,0
291,7
292,3
293,4
294,3
295,2
296,7
297,2
298,4
299,4
300,4
301,6
302,3
303,3
304,7
305,1
306,9
307,5
308,3
309,9
310,4
311,0
312,4
313,7
314,2
315,4
316,4
317,9
318,1
319,0
320,2
321,3
322,8
323,1
324,1
325,2
326,9
327,2
328,6
329,3
330,4
331,5
332,5
333,6
334,3
335,8
336,0
337,8
338,4
339,7
340,7
341,2
342,5
343,3
344,0
345,1
346,8
347,7
348,1
349,4
350,7
351,1
352,4
353,9
354,7
355,2
356,7
357,0
358,7
359,9
360,7
361,1
362,4
363,5
364,7
365,1
366,3
367,0
368,4
369,4
370,3
371,4
372,5
373,8
374,0
375,1
376,4
377,0
378,1
379,0
380,1
381,8
382,8
383,6
384,8
385,7
386,7
387,2
388,6
389,3
390,4
391,6
392,7
393,4
394,7
395,1
396,1
397,1
398,8
399,3
400,5
401,4
402,6
403,7
404,3
405,9
406,9
407,7
408,6
409,1
410,8
411,7
412,2
413,4
414,1
415,1
416,0
417,0
418,5
419,0
420,0
421,9
422,2
423,4
424,6
425,1
426,2
427,1
428,5
429,4
430,4
431,4
432,2
433,4
434,3
435,4
436,1
437,7
438,8
439,9
440,5
441,1
442,0
443,1
444,1
445,0
446,0
447,3
448,3
449,5
450,1
451,2
452,6
453,4
454,2
455,9
456,3
457,5
458,7
459,8
460,4
461,9
462,7
463,8
464,0
465,3
466,1
467,5
468,7
469,1
470,9
471,9
472,9
473,4
474,0
475,9
476,7
477,7
478,7
479,9
480,3
481,3
482,6
483,0
484,1
485,3
486,5
487,7
488,2
489,0
490,2
491,9
492,0
493,6
494,3
495,1
496,8
497,9
498,9
499,6
500,0
501,1
502,2
503,6
504,0
505,4
506,2
507,6
508,9
509,0
510,6
511,9
512,6
513,5
514,2
515,5
516,6
517,6
518,0
519,8
520,2
521,9
522,8
523,6
524,6
525,6
526,9
527,6
528,9
529,3
530,2
531,7
532,0
533,3
534,6
535,2
536,5
537,2
538,4
539,7
540,6
541,6
542,6
543,1
544,7
545,3
546,2
547,4
548,9
549,5
550,6
551,7
552,3
553,2
554,6
555,6
556,0
557,0
558,0
559,6
560,6
561,1
562,8
563,9
564,8
565,8
566,0
567,3
568,4
569,1
570,2
571,3
572,4
573,8
574,3
575,7
576,4
577,1
578,2
579,7
580,5
581,9
582,9
583,8
584,0
585,2
586,1
587,1
588,9
589,7
590,9
591,7
592,8
593,7
594,1
595,4
596,7
597,9
598,4
599,6
600,1
601,6
602,6
603,7
604,2
605,3
606,0
607,2
608,4
609,1
610,2
611,3
612,6
613,7
614,3
615,2
616,9
617,3
618,1
619,1
620,9
621,6
622,4
623,0
624,2
625,6
626,1
627,8
628,5
629,6
630,2
631,3
632,1
633,8
634,6
635,4
636,6
637,0
638,3
639,3
640,9
641,8
642,9
643,4
644,6
645,0
646,7
647,7
648,4
649,2
650,0
651,2
652,6
653,7
654,4
655,7
656,8
657,6
658,2
659,3
660,3
661,1
662,3
663,0
664,7
665,7
666,5
667,1
668,9
669,3
670,0
671,3
672,4
673,8
674,1
675,1
676,1
677,1
678,1
679,5
680,1
681,3
682,9
683,2
684,8
685,2
686,3
687,6
688,2
689,2
690,9
691,9
692,4
693,4
694,2
695,6
696,2
697,6
698,6
699,4
700,0
701,9
702,9
703,3
704,8
705,3
706,7
707,2
708,0
709,4
710,2
711,0
712,7
713,0
714,9
715,7
716,2
717,5
718,3
719,9
720,0
721,5
722,1
723,2
724,9
725,5
726,4
727,7
728,6
729,0
730,7
731,8
732,2
733,2
734,8
735,9
736,7
737,1
738,3
739,0
740,8
741,2
742,7
743,9
744,2
745,8
746,8
747,3
748,4
749,5
750,8
751,3
752,1
753,6
754,5
755,0
756,8
757,6
758,0
759,5
760,7
761,0
762,6
763,8
764,6
765,6
766,3
767,7
768,5
769,7
770,8
771,0
772,0
773,4
774,3
775,2
776,0
777,0
778,3
779,2
780,8
781,2
782,6
783,8
784,9
785,1
786,3
787,6
788,6
789,6
790,4
791,9
792,9
793,0
794,3
795,6
796,6
797,5
798,3
799,1
800,1
801,1
802,4
803,1
804,4
805,8
806,3
807,0
808,0
809,2
810,9
811,9
812,2
813,9
814,1
815,3
816,3
817,1
818,1
819,0
820,0
821,7
822,9
823,8
824,7
825,2
826,1
827,6
828,6
829,2
830,7
831,3
832,1
833,1
834,7
835,5
836,3
837,4
838,4
839,2
840,7
841,2
842,0
843,3
844,9
845,2
846,0
847,7
848,2
849,0
850,3
851,1
852,8
853,1
854,2
855,9
856,7
857,4
858,9
859,5
860,9
861,2
862,8
863,2
864,9
865,0
866,2
867,2
868,8
869,0
870,9
871,8
872,3
873,3
874,6
875,6
876,8
877,2
878,1
879,8
880,1
881,2
882,7
883,6
884,9
885,8
886,9
887,0
888,9
889,0
890,1
891,5
892,5
893,1
894,7
895,7
896,6
897,5
898,9
899,2
900,1
901,2
902,5
903,4
904,5
905,9
906,0
907,3
908,3
909,5
910,8
911,5
912,3
913,7
914,9
915,3
916,9
917,6
918,1
919,2
920,8
921,8
922,1
923,4
924,2
925,4
926,7
927,6
928,2
929,6
930,9
931,1
932,2
933,2
934,7
935,4
936,2
937,9
938,3
939,0
940,0
941,3
942,0
943,2
944,3
945,7
946,9
947,8
948,3
949,4
950,6
951,9
952,2
953,1
954,5
955,7
956,3
957,4
958,0
959,1
960,4
961,0
962,3
963,4
964,7
965,2
966,0
967,0
968,7
969,3
970,4
971,5
972,1
973,9
974,2
975,7
976,7
977,7
978,1
979,2
980,3
981,1
982,3
983,3
984,5
985,1
986,4
987,4
988,1
989,6
990,7
991,1
992,2
993,6
994,2
995,6
996,7
997,1
998,8
999,7
1000,1
1001,3
1002,3
1003,1
1004,8
1005,6
1006,0
1007,7
1008,1
1009,6
1010,6
1011,1
1012,2
1013,7
1014,5
1015,8
1016,0
1017,2
1018,0
1019,1
1020,0
1021,6
1022,9
1023,7
1024,5
1025,2
1026,4
1027,4
1028,0
1029,8
1030,1
1031,8
1032,8
1033,2
1034,6
1035,4
1036,8
1037,8
1038,4
1039,9
1040,1
1041,8
1042,6
1043,2
1044,9
1045,5
1046,7
1047,4
1048,7
1049,1
1050,3
1051,6
1052,1
1053,5
1054,4
1055,8
1056,6
1057,1
1058,1
1059,7
1060,3
1061,2
1062,1
1063,1
1064,1
1065,2
1066,3
1067,0
1068,1
1069,0
1070,3
1071,1
1072,5
1073,8
1074,4
1075,7
1076,7
1077,2
1078,8
1079,4
1080,5
1081,4
1082,3
1083,4
1084,2
1085,1
1086,6
1087,3
1088,0
1089,2
1090,5
1091,0
1092,8
1093,0
1094,4
1095,0
1096,2
1097,5
1098,8
1099,2
1100,1
1101,0
1102,4
1103,0
1104,4
1105,1
1106,3
1107,8
1108,7
1109,0
1110,5
1111,2
1112,7
1113,1
1114,8
1115,8
1116,3
1117,6
1118,0
1119,9
1120,8
1121,5
1122,7
1123,4
1124,7
1125,9
1126,0
1127,5
1128,2
1129,2
1130,3
1131,2
1132,1
1133,0
1134,3
1135,4
1136,7
1137,2
1138,8
1139,4
1140,1
1141,8
1142,6
1143,1
1144,7
1145,7
1146,9
1147,2
1148,9
1149,4
1150,7
1151,2
1152,1
1153,9
1154,0
1155,4
1156,6
1157,7
1158,7
1159,3
1160,9
1161,5
1162,2
1163,0
1164,0
1165,5
1166,1
1167,7
1168,3
1169,7
1170,7
1171,1
1172,7
1173,7
1174,3
1175,6
1176,3
1177,2
1178,9
1179,5
1180,2
1181,5
1182,3
1183,1
1184,3
1185,4
1186,2
1187,8
1188,8
1189,4
1190,9
1191,6
1192,3
1193,0
1194,5
1195,7
1196,6
1197,7
1198,4
1199,1
1200,3
1201,6
1202,5
1203,7
